purple,purpl,52
miss,miss,4
tent,tent,16
duck,duck,47
destroy,destroy,67
develop,develop,57
impolite,impolit,0
soup,soup,2
cherries,cherri,14
interrupt,interrupt,58
unarmed,unarm,48
recess,recess,50
whip,whip,22
dock,dock,24
country,countri,63
queen,queen,1
needy,needi,5
ocean,ocean,51
balance,balanc,44
screw,screw,50
equable,equabl,99
toad,toad,79
veil,veil,57
man,man,4
frame,frame,26
far,far,26
scissors,scissor,98
longing,long,27
remind,remind,5
poised,pois,2
ball,ball,44
wash,wash,22
found,found,81
tricky,tricki,47
helpful,help,18
dinosaurs,dinosaur,3
coil,coil,101
staking,stake,76
apparatus,apparatus,29
many,mani,4
power,power,78
march,march,49
yak,yak,96
horse,hors,32
thumb,thumb,90
known,known,75
aspiring,aspir,21
bat,bat,54
position,posit,2
star,star,92
division,divis,98
encourage,encourag,23
steady,steadi,79
deserve,deserv,53
invite,invit,16
name,name,80
dinner,dinner,5
white,white,64
tug,tug,62
cumbersome,cumbersom,65
like,like,45
peck,peck,103
cough,cough,43
hole,hole,71
jumbled,jumbl,15
second-hand,second-hand,41
perpetual,perpetu,34
meek,meek,33
permissible,permiss,58
pathetic,pathet,6
mundane,mundan,80
twist,twist,42
hat,hat,6
adventurous,adventur,48
guide,guid,20
reaction,reaction,23
boast,boast,54
puffy,puffi,66
attach,attach,6
crush,crush,90
part,part,91
laugh,laugh,7
occur,occur,60
splendid,splendid,8
bag,bag,28
funny,funni,40
cats,cat,59
radiate,radiat,79
bite,bite,9
phobic,phobic,18
nondescript,nondescript,67
direful,dire,5
sponge,spong,78
spill,spill,2
rub,rub,85
eyes,eye,96
delightful,delight,64
gray,gray,28
turkey,turkey,34
sturdy,sturdi,29
untidy,untidi,40
thaw,thaw,6
place,place,83
shoes,shoe,18
move,move,57
picayune,picayun,37
diligent,dilig,20
obnoxious,obnoxi,101
acid,acid,86
adjoining,adjoin,3
succeed,succeed,55
thankful,thank,6
confuse,confus,81
alleged,alleg,83
tail,tail,10
magic,magic,4
level,level,57
reduce,reduc,24
strap,strap,21
activity,activ,86
point,point,89
old,old,11
